Journal,Volume,Issue,Publication Year,Title,Authors,Pages,Type,DOI,PDF Link
Journal of Experimental Psychology: General,133,1,2004,"Trauma Films, Information Processing, and Intrusive Memory Development.","Holmes, Emily A.; Brewin, Chris R.; Hennessy, Richard G.",3-3-22,Articles,https://doi.org/10.1037/0096-3445.133.1.3,https://psycnet.apa.orgxge/133/1/3.pdf
Journal of Experimental Psychology: General,133,1,2004,"Music, Pandas, and Muggers: On the Affective Psychology of Value.","Hsee, Christopher K.; Rottenstreich, Yuval",23-23-30,Articles,https://doi.org/10.1037/0096-3445.133.1.23,https://psycnet.apa.orgxge/133/1/23.pdf
Journal of Experimental Psychology: General,133,1,2004,Anticipating by Pigeons Depends on Local Statistical Information in a Serial Response Time Task.,"Froehlich, Alyson L.; Herbranson, Walter T.; Loper, Julia D.; Wood, David M.; Shimp, Charles P.",31-31-45,Articles,https://doi.org/10.1037/0096-3445.133.1.31,https://psycnet.apa.orgxge/133/1/31.pdf
Journal of Experimental Psychology: General,133,1,2004,Multimodal Events and Moving Locations: Eye Movements of Adults and 6-Month-Olds Reveal Dynamic Spatial Indexing.,"Richardson, Daniel C.; Kirkham, Natasha Z.",46-46-62,Articles,https://doi.org/10.1037/0096-3445.133.1.46,https://psycnet.apa.orgxge/133/1/46.pdf
Journal of Experimental Psychology: General,133,1,2004,Comparing categorization models.,"Rouder, Jeffrey N.; Ratcliff, Roger",63-63-82,Articles,https://doi.org/10.1037/0096-3445.133.1.63,https://psycnet.apa.orgxge/133/1/63.pdf
Journal of Experimental Psychology: General,133,1,2004,Time Constraints and Resource Sharing in Adults' Working Memory Spans.,"Barrouillet, Pierre; Bernardin, Sophie; Camos, Valérie",83-83-100,Articles,https://doi.org/10.1037/0096-3445.133.1.83,https://psycnet.apa.orgxge/133/1/83.pdf
Journal of Experimental Psychology: General,133,1,2004,The Relations Among Inhibition and Interference Control Functions: A Latent-Variable Analysis.,"Friedman, Naomi P.; Miyake, Akira",101-101-135,Articles,https://doi.org/10.1037/0096-3445.133.1.101,https://psycnet.apa.orgxge/133/1/101.pdf
Journal of Experimental Psychology: General,133,2,2004,Underlying Processes in the Implicit Association Test: Dissociating Salience From Associations.,"Rothermund, Klaus; Wentura, Dirk",139-139-165,Articles,https://doi.org/10.1037/0096-3445.133.2.139,https://psycnet.apa.orgxge/133/2/139.pdf
Journal of Experimental Psychology: General,133,2,2004,Induction and Categorization in Young Children: A Similarity-Based Model.,"Sloutsky, Vladimir M.; Fisher, Anna V.",166-166-188,Articles,https://doi.org/10.1037/0096-3445.133.2.166,https://psycnet.apa.orgxge/133/2/166.pdf
Journal of Experimental Psychology: General,133,2,2004,The Generality of Working Memory Capacity: A Latent-Variable Approach to Verbal and Visuospatial Memory Span and Reasoning.,"Kane, Michael J.; Hambrick, David Z.; Tuholski, Stephen W.; Wilhelm, Oliver; Payne, Tabitha W.; Engle, Randall W.",189-189-217,Articles,https://doi.org/10.1037/0096-3445.133.2.189,https://psycnet.apa.orgxge/133/2/189.pdf
Journal of Experimental Psychology: General,133,2,2004,"Working Memory, Task Switching, and Executive Control in the Task Span Procedure.","Logan, Gordon D.",218-218-236,Articles,https://doi.org/10.1037/0096-3445.133.2.218,https://psycnet.apa.orgxge/133/2/218.pdf
Journal of Experimental Psychology: General,133,2,2004,Effects of Subclinical Depression and Aging on Generative Reasoning About Linear Orders: Same or Different Processing Limitations?,"Sedek, Grzegorz; von Hecker, Ulrich",237-237-260,Articles,https://doi.org/10.1037/0096-3445.133.2.237,https://psycnet.apa.orgxge/133/2/237.pdf
Journal of Experimental Psychology: General,133,2,2004,On the Locus of Speed-Accuracy Trade-Off in Reaction Time: Inferences From the Lateralized Readiness Potential.,"Rinkenauer, Gerhard; Osman, Allen; Ulrich, Rolf; Müller-Gethmann, Hiltraut; Mattes, Stefan",261-261-282,Articles,https://doi.org/10.1037/0096-3445.133.2.261,https://psycnet.apa.orgxge/133/2/261.pdf
Journal of Experimental Psychology: General,133,2,2004,Visual Word Recognition of Single-Syllable Words.,"Balota, David A.; Cortese, Michael J.; Sergent-Marshall, Susan D.; Spieler, Daniel H.; Yap, Melvin J.",283-283-316,Articles,https://doi.org/10.1037/0096-3445.133.2.283,https://psycnet.apa.orgxge/133/2/283.pdf
Journal of Experimental Psychology: General,133,3,2004,"A Rational Look at the Emotional Stroop Phenomenon: A Generic Slowdown, Not a Stroop Effect.","Algom, Daniel; Chajut, Eran; Lev, Shlomo",323-323-338,Articles,https://doi.org/10.1037/0096-3445.133.3.323,https://psycnet.apa.orgxge/133/3/323.pdf
Journal of Experimental Psychology: General,133,3,2004,Load Theory of Selective Attention and Cognitive Control.,"Lavie, Nilli; Hirst, Aleksandra; de Fockert, Jan W.; Viding, Essi",339-339-354,Articles,https://doi.org/10.1037/0096-3445.133.3.339,https://psycnet.apa.orgxge/133/3/339.pdf
Journal of Experimental Psychology: General,133,3,2004,Double Dissociations in Visual and Spatial Short-Term Memory.,"Klauer, Karl Christoph; Zhao, Zengmei",355-355-381,Articles,https://doi.org/10.1037/0096-3445.133.3.355,https://psycnet.apa.orgxge/133/3/355.pdf
Journal of Experimental Psychology: General,133,3,2004,The Role of Bottom-Up Processing in Perceptual Categorization by 3- to 4-Month-Old Infants: Simulations and Data.,"French, Robert M.; Mareschal, Denis; Mermillod, Martial; Quinn, Paul C.",382-382-397,Articles,https://doi.org/10.1037/0096-3445.133.3.382,https://psycnet.apa.orgxge/133/3/382.pdf
Journal of Experimental Psychology: General,133,3,2004,"Category Learning in Rhesus Monkeys: A Study of the Shepard, Hovland, and Jenkins (1961) Tasks.","Smith, J. David; Minda, John Paul; Washburn, David A.",398-398-414,Articles,https://doi.org/10.1037/0096-3445.133.3.398,https://psycnet.apa.orgxge/133/3/398.pdf
Journal of Experimental Psychology: General,133,3,2004,Having the Memory of an Elephant: Long-Term Retrieval and the Use of Analogues in Problem Solving.,"Chen, Zhe; Mo, Lei; Honomichl, Ryan",415-415-433,Articles,https://doi.org/10.1037/0096-3445.133.3.415,https://psycnet.apa.orgxge/133/3/415.pdf
Journal of Experimental Psychology: General,133,3,2004,The Collider Principle in Causal Reasoning: Why the Monty Hall Dilemma Is So Hard.,"Burns, Bruce D.; Wieth, Mareike",434-434-449,Articles,https://doi.org/10.1037/0096-3445.133.3.434,https://psycnet.apa.orgxge/133/3/434.pdf
Journal of Experimental Psychology: General,133,3,2004,This construction needs learned.,"Kaschak, Michael P.; Glenberg, Arthur M.",450-450-467,Articles,https://doi.org/10.1037/0096-3445.133.3.450,https://psycnet.apa.orgxge/133/3/450.pdf
Journal of Experimental Psychology: General,133,4,2004,Negative Compatibility or Object Updating? A Cautionary Tale of Mask-Dependent Priming.,"Lleras, Alejandro; Enns, James T.",475-475-493,Articles,https://doi.org/10.1037/0096-3445.133.4.475,https://psycnet.apa.orgxge/133/4/475.pdf
Journal of Experimental Psychology: General,133,4,2004,Qualitative Differences Between Conscious and Nonconscious Processing? On Inverse Priming Induced by Masked Arrows.,"Verleger, Rolf; Jaśkowski, Piotr; Aydemir, Aytaç; van der Lubbe, Rob H. J.; Groen, Margriet",494-494-515,Articles,https://doi.org/10.1037/0096-3445.133.4.494,https://psycnet.apa.orgxge/133/4/494.pdf
Journal of Experimental Psychology: General,133,4,2004,"Orienting Attention Via Observed Gaze Shift Evokes Longer Term Inhibitory Effects: Implications for Social Interactions, Attention, and Memory.","Frischen, Alexandra; Tipper, Steven P.",516-516-533,Articles,https://doi.org/10.1037/0096-3445.133.4.516,https://psycnet.apa.orgxge/133/4/516.pdf
Journal of Experimental Psychology: General,133,4,2004,Schematic Influences on Category Learning and Recognition Memory.,"Sakamoto, Yasuaki; Love, Bradley C.",534-534-553,Articles,https://doi.org/10.1037/0096-3445.133.4.534,https://psycnet.apa.orgxge/133/4/534.pdf
Journal of Experimental Psychology: General,133,4,2004,The Development of Color Categories in Two Languages: A Longitudinal Study.,"Roberson, Debi; Davidoff, Jules; Davies, Ian R. L.; Shapiro, Laura R.",554-554-571,Articles,https://doi.org/10.1037/0096-3445.133.4.554,https://psycnet.apa.orgxge/133/4/554.pdf
