Journal,Volume,Issue,Publication Year,Title,Authors,Author Affiliations,Pages,Type,DOI,PDF Link,Citations
Journal of Experimental Psychology: General,133,1,2004,"Trauma Films, Information Processing, and Intrusive Memory Development.","Holmes, Emily A.; Brewin, Chris R.; Hennessy, Richard G.",Pending,3-22,Articles,https://doi.org/10.1037/0096-3445.133.1.3,Pending,354
Journal of Experimental Psychology: General,133,1,2004,"Music, Pandas, and Muggers: On the Affective Psychology of Value.","Hsee, Christopher K.; Rottenstreich, Yuval",Pending,23-30,Articles,https://doi.org/10.1037/0096-3445.133.1.23,Pending,316
Journal of Experimental Psychology: General,133,1,2004,Anticipating by Pigeons Depends on Local Statistical Information in a Serial Response Time Task.,"Froehlich, Alyson L.; Herbranson, Walter T.; Loper, Julia D.; Wood, David M.; Shimp, Charles P.",Pending,31-45,Articles,https://doi.org/10.1037/0096-3445.133.1.31,Pending,21
Journal of Experimental Psychology: General,133,1,2004,Multimodal Events and Moving Locations: Eye Movements of Adults and 6-Month-Olds Reveal Dynamic Spatial Indexing.,"Richardson, Daniel C.; Kirkham, Natasha Z.",Pending,46-62,Articles,https://doi.org/10.1037/0096-3445.133.1.46,Pending,108
Journal of Experimental Psychology: General,133,1,2004,Comparing categorization models.,"Rouder, Jeffrey N.; Ratcliff, Roger",Pending,63-82,Articles,https://doi.org/10.1037/0096-3445.133.1.63,Pending,58
Journal of Experimental Psychology: General,133,1,2004,Time Constraints and Resource Sharing in Adults' Working Memory Spans.,"Barrouillet, Pierre; Bernardin, Sophie; Camos, Valérie",Pending,83-100,Articles,https://doi.org/10.1037/0096-3445.133.1.83,Pending,605
Journal of Experimental Psychology: General,133,1,2004,The Relations Among Inhibition and Interference Control Functions: A Latent-Variable Analysis.,"Friedman, Naomi P.; Miyake, Akira",Pending,101-135,Articles,https://doi.org/10.1037/0096-3445.133.1.101,Pending,1505
Journal of Experimental Psychology: General,133,2,2004,Underlying Processes in the Implicit Association Test: Dissociating Salience From Associations.,"Rothermund, Klaus; Wentura, Dirk",Pending,139-165,Articles,https://doi.org/10.1037/0096-3445.133.2.139,Pending,329
Journal of Experimental Psychology: General,133,2,2004,Induction and Categorization in Young Children: A Similarity-Based Model.,"Sloutsky, Vladimir M.; Fisher, Anna V.",Pending,166-188,Articles,https://doi.org/10.1037/0096-3445.133.2.166,Pending,223
Journal of Experimental Psychology: General,133,2,2004,The Generality of Working Memory Capacity: A Latent-Variable Approach to Verbal and Visuospatial Memory Span and Reasoning.,"Kane, Michael J.; Hambrick, David Z.; Tuholski, Stephen W.; Wilhelm, Oliver; Payne, Tabitha W.; Engle, Randall W.",Pending,189-217,Articles,https://doi.org/10.1037/0096-3445.133.2.189,Pending,1085
Journal of Experimental Psychology: General,133,2,2004,"Working Memory, Task Switching, and Executive Control in the Task Span Procedure.","Logan, Gordon D.",Pending,218-236,Articles,https://doi.org/10.1037/0096-3445.133.2.218,Pending,92
Journal of Experimental Psychology: General,133,2,2004,Effects of Subclinical Depression and Aging on Generative Reasoning About Linear Orders: Same or Different Processing Limitations?,"Sedek, Grzegorz; von Hecker, Ulrich",Pending,237-260,Articles,https://doi.org/10.1037/0096-3445.133.2.237,Pending,48
Journal of Experimental Psychology: General,133,2,2004,On the Locus of Speed-Accuracy Trade-Off in Reaction Time: Inferences From the Lateralized Readiness Potential.,"Rinkenauer, Gerhard; Osman, Allen; Ulrich, Rolf; Müller-Gethmann, Hiltraut; Mattes, Stefan",Pending,261-282,Articles,https://doi.org/10.1037/0096-3445.133.2.261,Pending,104
