Reviewer Name,Journal,Year,Title,Authors,DOI,PDF Link
Julius Pfadt,Journal of Experimental Social Psychology,2023,Successful groups are seen as more agentic and therefore more human— Consequences for group perception,"Magdalena Formanowicz, Marta Witkowska, Maria Laura Bettinsoli, Paweł Jurek",https://doi.org/10.1016/j.jesp.2023.104490,https://drive.google.com/file/d/1jj4ZX_r82u9Vge8n0_7Z-CtpoeiZUcSq/view
Julius Pfadt,Journal of Experimental Psychology: General,2021,Categorical cuing: Object categories structure the acquisition of statistical regularities to guide visual search.,"Bahle, Brett; Kershner, Ariel M.; Hollingworth, Andrew",https://doi.org/10.1037/xge0001059,https://drive.google.com/file/d/1drSSx6NT3RJCuaAVFBtABZtapMWNaaL2/view
Julius Pfadt,Psychological Science,2021,Lifting the Bar: A Relationship-Orienting Intervention Reduces Recidivism Among Children Reentering School From Juvenile Detention,"Gregory M. Walton, Jason A. Okonofua",https://doi.org/10.1177/09567976211013801,https://drive.google.com/file/d/1ge-NnoooqQuKb6ahmU86xNyqGZgvMI28/view
Julius Pfadt,Journal of Experimental Psychology: General,2022,Ongoing dynamic calibration produces unstable number estimates.,"Brockbank, Erik; Barner, David; Vul, Edward",https://doi.org/10.1037/xge0001178,https://drive.google.com/file/d/1lIxc2Q8V-9nMdjcTlVdG-DgY8M7Gy9TX/view
Julius Pfadt,Developmental Science,2024,Sensitivity to psychosocial influences at age 3 predicts mental health in middle childhood,"Cassidy L. McDermott, Katherine Taylor, Sophie D. S. Sharp, David Lydon-Staley, Julia A. Leonard, Allyson P. Mackey",https://doi.org/10.1111/desc.13531,https://drive.google.com/file/d/1HF8gZuv-gsfj6oPHuEnt9Pnc457Sx6QX/view
Julius Pfadt,Developmental Science,2022,Positive emotion enhances conflict processing in preschoolers,"Philipp Berger, Charlotte Grosse Wiesmann",https://doi.org/10.1111/desc.13199,https://drive.google.com/file/d/10m1ikQLs77-V_Sb9PAWimu7RTC23Wofl/view
Julius Pfadt,Psychonomic Bulletin & Review,2024,"Partial blindness: Visual experience is not rich, but not sparse","Kim, Cheongil, Chong, Sang Chul",https://doi.org/10.3758/s13423-023-02432-w,https://drive.google.com/file/d/1xoRUQ8mJIDmAgU328tBuRYyua-a5CkVr/view
Julius Pfadt,Behaviour Research and Therapy,2023,Reactivity toward daily events: Intraindividual variability and change in recurrent depression – A measurement burst study,"Isabelle Florence Schricker, Sibel Nayman, Iris Reinhard, Christine Kuehner",https://doi.org/10.1016/j.brat.2023.104383,https://drive.google.com/file/d/1etvRDnOYsHeH-jmem8cmEQM8-2vpmDKa/view
Julius Pfadt,Behaviour Research and Therapy,2024,Reciprocal effects between negative affect and emotion regulation in daily life,"Xiaoqin Wang, Shiyu Shao, Zhouqu Cai, Chenyue Ma, ... Yafei Tan",https://doi.org/10.1016/j.brat.2024.104518,https://drive.google.com/file/d/16UWZDEx4Buq6MLHjvxrforL0p5JUdzvU/view
Julius Pfadt,Journal of Experimental Psychology: General,2024,Children’s third-party punishment does not change depending on the prospect of future interaction.,"Lee, Young-eun; He, Susan; Warneken, Felix",https://doi.org/10.1037/xge0001515,https://drive.google.com/file/d/15WkdRbDy-sdXsuWtzh5nwRczt1p08gAz/view
Julius Pfadt,Behaviour Research and Therapy,2021,Attentional processes and contamination-related intrusion distress,"Jemma Todd, Colin MacLeod, Lies Notebaert",https://doi.org/10.1016/j.brat.2021.103833,https://drive.google.com/file/d/1jjEfdVmnj3Hykv73MeZRH4PAYhMSA9OW/view
Julius Pfadt,Journal of Experimental Social Psychology,2023,When more is less: Self-control strategies are seen as less indicative of self-control than just willpower,"Anamarie Gennara, Johanna Peetz, Marina Milyavskaya",https://doi.org/10.1016/j.jesp.2023.104457,https://drive.google.com/file/d/12n4NUdfSLHpnb8VP0FcHDIOI9b2tLc2g/view
Julius Pfadt,Psychonomic Bulletin & Review,2022,Is theology more of a field than a father is a king? Modelling semantic relatedness in processing literal and metaphorical statements,"Westbury, Chris, Harati, Parastoo",https://doi.org/10.3758/s13423-022-02072-6,https://drive.google.com/file/d/1cYDkaiyqyqh2PewwRtVPUlPMZ5-FdFwt/view
Julius Pfadt,Behaviour Research and Therapy,2021,Differences in perceptual memory determine generalization patterns,"Ann-Kathrin Zenses, Jessica C. Lee, Valérie Plaisance, Jonas Zaman",https://doi.org/10.1016/j.brat.2020.103777,https://drive.google.com/file/d/1wuVHsvOoSu8fJrOSLsFtraysp38q-huz/view
Julius Pfadt,Behaviour Research and Therapy,2023,Less is more: Decreasing the frequency of maladaptive coping predicts improvements in DBT more consistently than increasing the frequency of adaptive coping,"Matthew W. Southward, Kristen P. Howard, Jennifer S. Cheavens",https://doi.org/10.1016/j.brat.2023.104288,https://drive.google.com/file/d/1lu50QqSPQJtNKbGwSSandxZl4MhoVxHM/view
Julius Pfadt,Psychonomic Bulletin & Review,2024,The push–pull of serial dependence effects: Attraction to the prior response and repulsion from the prior stimulus,"Sadil, Patrick, Cowell, Rosemary A., Huber, David E.",https://doi.org/10.3758/s13423-023-02320-3,https://drive.google.com/file/d/1qetH70_EENEi9w6E35UJfzS3vG88pmDz/view
Julius Pfadt,Psychonomic Bulletin & Review,2024,Emoji as gesture in digital communication: Emoji improve comprehension of indirect speech,"Hancock, Patrick M., Hilverman, Caitlin, Cook, Susan Wagner, Halvorson, Kimberly M.",https://doi.org/10.3758/s13423-023-02411-1,https://drive.google.com/file/d/1_f_4T9-7kGfGu7wuW5c-uO2HzBANo3xU/view
Julius Pfadt,Journal of Experimental Psychology: General,2022,Early caregiving adversity differentially shapes behavioral sensitivity to reward and risk during decision-making.,"Guassi Moreira, João F.; Méndez Leal, Adriana S.; Waizman, Yael H.; Saragosa-Harris, Natalie; Ninova, Emilia; Silvers, Jennifer A.",https://doi.org/10.1037/xge0001229,https://drive.google.com/file/d/1yP-tycD6Gn4LMOmynuPJ5_5uz02Agtm7/view
Julius Pfadt,Journal of Experimental Social Psychology,2020,“Rarely safe to assume”: Evaluating the use and interpretation of manipulation checks in experimental social psychology,"Emma Ejelöv, Timothy J. Luke",https://doi.org/10.1016/j.jesp.2019.103937,https://drive.google.com/file/d/1f_Qf-rdczM-g7HwwofrjFcy0D9uEPEfy/view
Julius Pfadt,Psychonomic Bulletin & Review,2023,Implicit learning of regularities followed by realistic body movements in virtual reality,"Jurchiș, Răzvan, Dienes, Zoltan",https://doi.org/10.3758/s13423-022-02175-0,https://drive.google.com/file/d/1VkrulkIb2wszCEtSVLovEufcH0bkx-rk/view
Julius Pfadt,Journal of Experimental Social Psychology,2020,The dark side of gratitude: Gratitude could lead to moral violation,"Ruida Zhu, Zhenhua Xu, Honghong Tang, Huagen Wang, ... Chao Liu",https://doi.org/10.1016/j.jesp.2020.104048,https://drive.google.com/file/d/1HSOWvDYi2DVkJbWxBmY3IGRySbLsQ5j2/view
Julius Pfadt,Journal of Experimental Psychology: General,2023,How does social status relate to self-esteem and emotion? An integrative test of hierometer theory and social rank theory.,"Mahadevan, Nikhila; Gregg, Aiden P.; Sedikides, Constantine",https://doi.org/10.1037/xge0001286,https://drive.google.com/file/d/159v2GzTD_zkBsZtEHEpy2LtDclacXPks/view
Julius Pfadt,Journal of Experimental Psychology: General,2024,The benefits of difference-education interventions in lower-resourced institutions.,"Stephens, Nicole M.; Townsend, Sarah S. M.; Carey, Rebecca M.; Hamedani, MarYam G.; Brannon, Tiffany N.; Murphy, Mary C.",https://doi.org/10.1037/xge0001499,https://drive.google.com/file/d/1EH535IRT9gKcI4YPCneiHcl01IYUIpJs/view
Julius Pfadt,Journal of Experimental Psychology: General,2022,Visual and visual association abilities predict skilled reading performance: The case of music sight-reading.,"Fan, Pu; Wong, Alan C. -N.; Wong, Yetta Kwailing",https://doi.org/10.1037/xge0001217,https://drive.google.com/file/d/1D1aGXa2_iTYfultNmhtVE3CrAhQk_syq/view
Julius Pfadt,Psychonomic Bulletin & Review,2023,Visuo-motor interference is modulated by task interactivity: A kinematic study,"Rocca, Matilde, Sacheli, Lucia Maria, Romeo, Luca, Cavallo, Andrea",https://doi.org/10.3758/s13423-023-02297-z,https://drive.google.com/file/d/1dG04mNb5WAvGUOZonsEfXdtWJEattIWX/view
Julius Pfadt,Psychological Science,2021,Convergent and Discriminant Validity of Retrospective Assessments of the Quality of Childhood Parenting: Prospective Evidence From Infancy to Age 26 Years,"Marissa D. Nivison, Deborah Lowe Vandell, Cathryn Booth-LaForce, Glenn I. Roisman",https://doi.org/10.1177/0956797620975775,https://drive.google.com/file/d/1VDjKfYFFONxWtHOj39LVvHRZ-5BFwrS1/view
Julius Pfadt,Developmental Science,2024,Miscategorized subset-knowers: Five- and six-knowers can compare only the numbers they know,"Attila Krajcsi, Bert Reynvoet",https://doi.org/10.1111/desc.13430,https://drive.google.com/file/d/1fPaQH594B_WpBT72gOFjEjpF-PNaxb_O/view
Julius Pfadt,Behaviour Research and Therapy,2024,Perseveration on suicidal thoughts and images in daily life: An examination of the cognitive model of suicide through a dynamic systems lens,"Megan L. Rogers, Keyne C. Law, Olivia C. Lawrence, Abby A. Mandel",https://doi.org/10.1016/j.brat.2024.104524,https://drive.google.com/file/d/1WBr-qcAL-l7LqU6BNiXikLzTngX6fm-q/view
Julius Pfadt,Journal of Experimental Psychology: General,2021,Unity and diversity of neural representation in executive functions.,"He, Li; Zhuang, Kaixiang; Chen, Qunlin; Wei, Dongtao; Chen, Xiaoyi; Fan, Jin; Qiu, Jiang",https://doi.org/10.1037/xge0001047,https://drive.google.com/file/d/1LWtXmQntrTfag00QZ5TEIHZssq54bhhR/view
Julius Pfadt,Psychonomic Bulletin & Review,2021,Selection history modulates the limit of visual awareness in color perception,"Chen, Zhe, Chen, Makayla Szu-yu",https://doi.org/10.3758/s13423-021-01899-9,https://drive.google.com/file/d/18zuMi1VCp7MKrZ_8KajuC4aBG1YUkqjN/view
