Journal,Volume,Issue,Publication Year,Title,Authors,Author Affiliations,Pages,Type,DOI,PDF Link,Citations
Behaviour Research and Therapy,42.0,1.0,2004.0,A comparison of flashbacks and ordinary autobiographical memories of trauma: content and language,"Steph J Hellawell, Chris R Brewin",Pending,1-12,Research article,https://doi.org/10.1016/S0005-7967(03)00088-3,https://www.sciencedirect.com/science/article/pii/S0005796703000883/pdfft?md5=a152e0407f91eed2a934f79ee63bd9f0&pid=1-s2.0-S0005796703000883-main.pdf,108.0
Behaviour Research and Therapy,42.0,1.0,2004.0,The Speech Anxiety Thoughts Inventory: scale development and preliminary psychometric data,"Yongrae Cho, Jasper A.J. Smits, Michael J. Telch",Pending,13-25,Research article,https://doi.org/10.1016/S0005-7967(03)00067-6,https://www.sciencedirect.com/science/article/pii/S0005796703000676/pdfft?md5=ab238c50f839471cbf70aa52088cbfe9&pid=1-s2.0-S0005796703000676-main.pdf,31.0
Behaviour Research and Therapy,42.0,1.0,2004.0,Correcting distorted perception of sleep in insomnia: a novel behavioural experiment?,"Nicole K.Y Tang, Allison G Harvey",Pending,27-39,Research article,https://doi.org/10.1016/S0005-7967(03)00068-8,https://www.sciencedirect.com/science/article/pii/S0005796703000688/pdfft?md5=60d975b658591d81556b7544d31c1f04&pid=1-s2.0-S0005796703000688-main.pdf,146.0
Behaviour Research and Therapy,42.0,1.0,2004.0,"Beyond abuse: the association among parenting style, abdominal pain, and somatization in IBS patients","Jeffrey M Lackner, Gregory D Gudleski, Edward B Blanchard",Pending,41-56,Research article,https://doi.org/10.1016/S0005-7967(03)00069-X,https://www.sciencedirect.com/science/article/pii/S000579670300069X/pdfft?md5=136484fd212d245cc269c1798b41d41c&pid=1-s2.0-S000579670300069X-main.pdf,64.0
Behaviour Research and Therapy,42.0,1.0,2004.0,Diagnostic efficiency of DSM-IV criteria for obsessive compulsive personality disorder in patients with binge eating disorder,C.M Grilo,Pending,57-65,Research article,https://doi.org/10.1016/S0005-7967(03)00072-X,https://www.sciencedirect.com/science/article/pii/S000579670300072X/pdfft?md5=de6ac5a0cb350c5e20b980f73e40cebf&pid=1-s2.0-S000579670300072X-main.pdf,21.0
Behaviour Research and Therapy,42.0,1.0,2004.0,Subtyping female adolescent psychiatric inpatients with features of eating disorders along dietary restraint and negative affect dimensions,C.M Grilo,Pending,67-78,Research article,https://doi.org/10.1016/S0005-7967(03)00073-1,https://www.sciencedirect.com/science/article/pii/S0005796703000731/pdfft?md5=c71debc3560a8d818366626b75c145f1&pid=1-s2.0-S0005796703000731-main.pdf,36.0
Behaviour Research and Therapy,42.0,1.0,2004.0,Factor structure and stability of the Anxiety Sensitivity Index in a longitudinal study of anxiety disorder patients,"Benjamin F Rodriguez, Steven E Bruce, Maria E Pagano, Michael A Spencer, Martin B Keller",Pending,79-91,Research article,https://doi.org/10.1016/S0005-7967(03)00074-3,https://www.sciencedirect.com/science/article/pii/S0005796703000743/pdfft?md5=bff662710c7eaea5f238212e38917030&pid=1-s2.0-S0005796703000743-main.pdf,174.0
Behaviour Research and Therapy,42.0,1.0,2004.0,Disgust domains in the prediction of contamination fear,"Bunmi O Olatunji, Craig N Sawchuk, Jeffrey M Lohr, Peter J de Jong",Pending,93-104,Research article,https://doi.org/10.1016/S0005-7967(03)00102-5,https://www.sciencedirect.com/science/article/pii/S0005796703001025/pdfft?md5=878c26a1195685cbbe0ea164f36a64a4&pid=1-s2.0-S0005796703001025-main.pdf,183.0
Behaviour Research and Therapy,42.0,1.0,2004.0,Neuroticism and self-criticism associated with posttraumatic stress disorder in a nationally representative sample,"Brian J Cox, Paula S.R MacPherson, Murray W Enns, Lachlan A McWilliams",Pending,105-114,Research article,https://doi.org/10.1016/S0005-7967(03)00105-0,https://www.sciencedirect.com/science/article/pii/S0005796703001050/pdfft?md5=6f00bde278c31813172f9ff570e02325&pid=1-s2.0-S0005796703001050-main.pdf,144.0
Behaviour Research and Therapy,42.0,1.0,2004.0,Psychometric properties of the OCI-R in a college sample,"Greg Hajcak, Jonathan D Huppert, Robert F Simons, Edna B Foa",Pending,115-123,Short communication,https://doi.org/10.1016/j.brat.2003.08.002,https://www.sciencedirect.com/science/article/pii/S0005796703002298/pdfft?md5=48e3af67ed5145afc1f67051b49e3363&pid=1-s2.0-S0005796703002298-main.pdf,279.0
Behaviour Research and Therapy,42.0,2.0,2004.0,Effects of aerobic exercise on anxiety sensitivity,"Joshua J Broman-Fulks, Mitchell E Berman, Brian A Rabian, Michael J Webster",Pending,125-136,Research article,https://doi.org/10.1016/S0005-7967(03)00103-7,https://www.sciencedirect.com/science/article/pii/S0005796703001037/pdfft?md5=531b6efac86604b0f6bcded7f366853c&pid=1-s2.0-S0005796703001037-main.pdf,192.0
Behaviour Research and Therapy,42.0,2.0,2004.0,Acquired sensitivity to relevant physiological activity in patients with chronic health problems,"Simon Rietvelt, Jan H Houtveen",Pending,137-153,Research article,https://doi.org/10.1016/S0005-7967(03)00104-9,https://www.sciencedirect.com/science/article/pii/S0005796703001049/pdfft?md5=5f574fd7299cb6473f2968cd4a8c4e29&pid=1-s2.0-S0005796703001049-mainext.pdf,19.0
Behaviour Research and Therapy,42.0,2.0,2004.0,Differentiating between memory and interpretation biases in socially anxious and nonanxious individuals,"Jennifer R Brendle, Amy Wenzel",Pending,155-171,Research article,https://doi.org/10.1016/S0005-7967(03)00107-4,https://www.sciencedirect.com/science/article/pii/S0005796703001074/pdfft?md5=82fb678c1dbdaaba5b6cd0b135a539f0&pid=1-s2.0-S0005796703001074-main.pdf,40.0
Behaviour Research and Therapy,42.0,2.0,2004.0,Feelings of mental pollution subsequent to sexual assault,"Nichole Fairbrother, S. Rachman",Pending,173-189,Research article,https://doi.org/10.1016/S0005-7967(03)00108-6,https://www.sciencedirect.com/science/article/pii/S0005796703001086/pdfft?md5=ade2e10b57e81853a4496cd767de91f3&pid=1-s2.0-S0005796703001086-main.pdf,132.0
Behaviour Research and Therapy,42.0,2.0,2004.0,"Studies of the vicarious traumatization of college students by the September 11th attacks: effects of proximity, exposure and connectedness","Edward B Blanchard, Eric Kuhn, Dianna L Rowell, Edward J Hickling, ... Debra C Steckler",Pending,191-205,Research article,https://doi.org/10.1016/S0005-7967(03)00118-9,https://www.sciencedirect.com/science/article/pii/S0005796703001189/pdfft?md5=b1719c39a9ac1a6003f8cba0d5e658d3&pid=1-s2.0-S0005796703001189-main.pdf,105.0
Behaviour Research and Therapy,42.0,2.0,2004.0,Behavioral avoidance tests and disgust in contamination fears: distinctions from trait anxiety,"Steven D Tsao, Dean McKay",Pending,207-216,Research article,https://doi.org/10.1016/S0005-7967(03)00119-0,https://www.sciencedirect.com/science/article/pii/S0005796703001190/pdfft?md5=8e9652e94fa08c0c5189a3587eb3194b&pid=1-s2.0-S0005796703001190-main.pdf,88.0
Behaviour Research and Therapy,42.0,2.0,2004.0,Positive schizotypal symptoms predict treatment outcome in obsessive–compulsive disorder,"Steffen Moritz, Susanne Fricke, Dirk Jacobsen, Martin Kloss, ... Iver Hand",Pending,217-227,Research article,https://doi.org/10.1016/S0005-7967(03)00120-7,https://www.sciencedirect.com/science/article/pii/S0005796703001207/pdfft?md5=789fd1e46e3e98b12bbdfaf473b4e16e&pid=1-s2.0-S0005796703001207-main.pdf,72.0
Behaviour Research and Therapy,42.0,2.0,2004.0,Treatment of acrophobia in virtual reality: The role of immersion and presence,"Merel Krijn, Paul M.G Emmelkamp, Roeline Biemond, Claudius de Wilde de Ligny, ... Charles A.P.G van der Mast",Pending,229-239,Research article,https://doi.org/10.1016/S0005-7967(03)00139-6,https://www.sciencedirect.com/science/article/pii/S0005796703001396/pdfft?md5=fec3be2d039eedae4c5d02b03a28f62e&pid=1-s2.0-S0005796703001396-main.pdf,261.0
Behaviour Research and Therapy,42.0,2.0,2004.0,The factor structure of the Anxiety Sensitivity Index among Northern Plains Native Americans,"Peter J Norton, Tami J De Coteau, Debra A Hope, Jessiline Anderson",Pending,241-247,Short communication,https://doi.org/10.1016/j.brat.2003.10.002,https://www.sciencedirect.com/science/article/pii/S0005796703002705/pdfft?md5=100abf69df7d7676304eb897e042f019&pid=1-s2.0-S0005796703002705-main.pdf,17.0
