Journal,Volume,Issue,Publication Year,Title,Authors,Author Affiliations,Pages,Type,DOI,PDF Link,Citations
Journal of Experimental Social Psychology,40,1,2004,C1 : Ed Board,,Pending,N/A,,https://doi.org/10.1016/S0022-1031(03)00171-9,https://www.sciencedirect.com/science/article/pii/S0022103103001719/pdfft?md5=3f6673e60bbd94574c1fdc1f28216ff1&pid=1-s2.0-S0022103103001719-main.pdf,N/A
Journal of Experimental Social Psychology,40,1,2004,C2–TOC,,Pending,N/A,,https://doi.org/10.1016/S0022-1031(03)00172-0,https://www.sciencedirect.com/science/article/pii/S0022103103001720/pdfft?md5=a4fea77d97cbb6b1fa5e1ed47a5ca76c&pid=1-s2.0-S0022103103001720-main.pdf,N/A
Journal of Experimental Social Psychology,40,1,2004,Autocratic leadership in social dilemmas: A threat to group stability,"Mark Van Vugt, Sarah F. Jepson, Claire M. Hart, David De Cremer",Pending,1-13,Research article,https://doi.org/10.1016/S0022-1031(03)00061-1,https://www.sciencedirect.com/science/article/pii/S0022103103000611/pdfft?md5=12491a2953cfd39b570f6bc903815291&pid=1-s2.0-S0022103103000611-main.pdf,125
Journal of Experimental Social Psychology,40,1,2004,Reactions to acceptance and rejection: Effects of level and sequence of relational evaluation,"Katherine E. Buckley, Rachel E. Winkel, Mark R. Leary",Pending,14-28,Research article,https://doi.org/10.1016/S0022-1031(03)00064-7,https://www.sciencedirect.com/science/article/pii/S0022103103000647/pdfft?md5=c53fe4a93d33b8c9c5d7c7f22f3e89c1&pid=1-s2.0-S0022103103000647-main.pdf,377
Journal of Experimental Social Psychology,40,1,2004,Maintaining lies: The multiple-audience problem,"Charles F. Bond, B. Jason Thomas, René M. Paulson",Pending,29-40,Research article,https://doi.org/10.1016/S0022-1031(03)00087-8,https://www.sciencedirect.com/science/article/pii/S0022103103000878/pdfft?md5=120d5a67356cb69e26221afced492dcc&pid=1-s2.0-S0022103103000878-main.pdf,9
Journal of Experimental Social Psychology,40,1,2004,Providing and withholding impression management support for romantic partners: Gender of the audience matters,"Beth A Pontari, Barry R Schlenker",Pending,41-51,Research article,https://doi.org/10.1016/S0022-1031(03)00070-2,https://www.sciencedirect.com/science/article/pii/S0022103103000702/pdfft?md5=516dee98aa97026f0827c907566fb229&pid=1-s2.0-S0022103103000702-main.pdf,13
Journal of Experimental Social Psychology,40,1,2004,Memory monitoring and the control of stereotype distortion,"B.Keith Payne, Larry L. Jacoby, Alan J. Lambert",Pending,52-64,Research article,https://doi.org/10.1016/S0022-1031(03)00069-6,https://www.sciencedirect.com/science/article/pii/S0022103103000696/pdfft?md5=01be7359e67cde81c077cfbfeddc2baa&pid=1-s2.0-S0022103103000696-main.pdf,38
Journal of Experimental Social Psychology,40,1,2004,When mutations meet motivations: Attitude biases in counterfactual thought,"Matthew T Crawford, Sean M McCrea",Pending,65-74,Research article,https://doi.org/10.1016/S0022-1031(03)00062-3,https://www.sciencedirect.com/science/article/pii/S0022103103000623/pdfft?md5=c3227e8b6d03fc9a5b09d9791c725495&pid=1-s2.0-S0022103103000623-main.pdf,8
Journal of Experimental Social Psychology,40,1,2004,Automatic stereotypes vs. automatic prejudice: Sorting out the possibilities in the weapon paradigm,"Charles M. Judd, Irene V. Blair, Kristine M. Chapleau",Pending,75-81,Research article,https://doi.org/10.1016/S0022-1031(03)00063-5,https://www.sciencedirect.com/science/article/pii/S0022103103000635/pdfft?md5=9491010287238f3e5f717ac369b56615&pid=1-s2.0-S0022103103000635-main.pdf,58
Journal of Experimental Social Psychology,40,1,2004,Individual differences in attitude structure: Variance in the chronic reliance on affective and cognitive information,"Thomas L.H Huskinson, Geoffrey Haddock",Pending,82-90,Research article,https://doi.org/10.1016/S0022-1031(03)00060-X,https://www.sciencedirect.com/science/article/pii/S002210310300060X/pdfft?md5=75e2c82551ebb1581fa4eccd36cf3e24&pid=1-s2.0-S002210310300060X-main.pdf,104
Journal of Experimental Social Psychology,40,1,2004,The effort heuristic,"Justin Kruger, Derrick Wirtz, Leaf Van Boven, T.William Altermatt",Pending,91-98,Research article,https://doi.org/10.1016/S0022-1031(03)00065-9,https://www.sciencedirect.com/science/article/pii/S0022103103000659/pdfft?md5=932e5940cf59ebb58027759238251fdd&pid=1-s2.0-S0022103103000659-main.pdf,278
Journal of Experimental Social Psychology,40,1,2004,Cultural threat and perceived realistic group conflict as dual predictors of prejudice,"Michael A. Zárate, Berenice Garcia, Azenett A. Garza, Robert T. Hitlan",Pending,99-105,Research article,https://doi.org/10.1016/S0022-1031(03)00067-2,https://www.sciencedirect.com/science/article/pii/S0022103103000672/pdfft?md5=ea9531a94a0f74e9cf69c7b42972d5c0&pid=1-s2.0-S0022103103000672-main.pdf,206
Journal of Experimental Social Psychology,40,1,2004,Affect and automatic mood maintenance,"Ian M. Handley, G.Daniel Lassiter, Elizabeth F. Nickell, Lisa M. Herchenroeder",Pending,106-112,Research article,https://doi.org/10.1016/S0022-1031(03)00086-6,https://www.sciencedirect.com/science/article/pii/S0022103103000866/pdfft?md5=982461c7e0fff91a94b070c1012eb0a4&pid=1-s2.0-S0022103103000866-main.pdf,53
Journal of Experimental Social Psychology,40,1,2004,Social contagion of time perception,Lucian Gideon Conway III,Pending,113-120,Research article,https://doi.org/10.1016/S0022-1031(03)00089-1,https://www.sciencedirect.com/science/article/pii/S0022103103000891/pdfft?md5=4228893f28ae33228383f0a66b527a5d&pid=1-s2.0-S0022103103000891-main.pdf,26
Journal of Experimental Social Psychology,40,1,2004,The unexpected benefits of final deadlines in negotiation,Don A. Moore,Pending,121-127,Research article,https://doi.org/10.1016/S0022-1031(03)00090-8,https://www.sciencedirect.com/science/article/pii/S0022103103000908/pdfft?md5=9dfd708045b37b2af095dcfbcc0e3533&pid=1-s2.0-S0022103103000908-main.pdf,38
Journal of Experimental Social Psychology,40,1,2004,Biased processing of stereotype-incongruency is greater for low than high status groups,"Denise Sekaquaptewa, Penelope Espinoza",Pending,128-135,Research article,https://doi.org/10.1016/S0022-1031(03)00093-3,https://www.sciencedirect.com/science/article/pii/S0022103103000933/pdfft?md5=b3c3a82eb06ba0dc246c1089c66433e5&pid=1-s2.0-S0022103103000933-main.pdf,28
Journal of Experimental Social Psychology,40,1,2004,"Erratum to ‘Locomotion, assessment, and regulatory fit: Value transfer from “how” to “what”’ [Journal of Experimental Social Psychology 39 (2003) 525–530]","Tamar Avnet, E.Tory Higgins",Pending,N/A,Erratum,https://doi.org/10.1016/j.jesp.2003.09.001,https://www.sciencedirect.com/science/article/pii/S0022103103001392/pdfft?md5=52b979881e7bd2bd9e3be2f3c3c78b10&pid=1-s2.0-S0022103103001392-main.pdf,N/A
Journal of Experimental Social Psychology,40,2,2004,Editorial Board,,Pending,N/A,,https://doi.org/10.1016/S0022-1031(04)00012-5,https://www.sciencedirect.com/science/article/pii/S0022103104000125/pdfft?md5=0d0ad966de1c4f79c66dacb421098fe1&pid=1-s2.0-S0022103104000125-main.pdf,N/A
Journal of Experimental Social Psychology,40,2,2004,TOC,,Pending,N/A,,https://doi.org/10.1016/S0022-1031(04)00013-7,https://www.sciencedirect.com/science/article/pii/S0022103104000137/pdfft?md5=9834687b3d5898c07ab57f6f939ffa04&pid=1-s2.0-S0022103104000137-main.pdf,N/A
Journal of Experimental Social Psychology,40,2,2004,Editorial,"Bernadette Park, Leandre R. Fabigar, Klaus Fiedler, Allen R. McConnell, ... Garold Stasser",Pending,137-138,Editorial,https://doi.org/10.1016/j.jesp.2004.01.001,https://www.sciencedirect.com/science/article/pii/S0022103104000058/pdfft?md5=e9e44f488d5d59fad34b9e8420766d3f&pid=1-s2.0-S0022103104000058-main.pdf,N/A
Journal of Experimental Social Psychology,40,2,2004,Preparing for social psychology’s future,Shelley E. Taylor,Pending,139-141,Editorial,https://doi.org/10.1016/j.jesp.2003.11.004,https://www.sciencedirect.com/science/article/pii/S002210310300180X/pdfft?md5=8329873694062808ea3d8c403fea8d73&pid=1-s2.0-S002210310300180X-main.pdf,7
Journal of Experimental Social Psychology,40,2,2004,Dynamic valuation: Preference changes in the context of face-to-face negotiation,"Jared R Curhan, Margaret A Neale, Lee Ross",Pending,142-151,Research article,https://doi.org/10.1016/j.jesp.2003.12.002,https://www.sciencedirect.com/science/article/pii/S0022103104000022/pdfft?md5=9d757b171876faf2a4af0dc65289c861&pid=1-s2.0-S0022103104000022-main.pdf,43
Journal of Experimental Social Psychology,40,2,2004,Identity bifurcation in response to stereotype threat: Women and mathematics,"Emily Pronin, Claude M Steele, Lee Ross",Pending,152-168,Research article,https://doi.org/10.1016/S0022-1031(03)00088-X,https://www.sciencedirect.com/science/article/pii/S002210310300088X/pdfft?md5=7e8efd0ad45f708e7b4292073c1eb930&pid=1-s2.0-S002210310300088X-main.pdf,241
Journal of Experimental Social Psychology,40,2,2004,A social validation explanation for mutual enhancement,"Gwen M Wittenbaum, Jonathan M Bowman",Pending,169-184,Research article,https://doi.org/10.1016/S0022-1031(03)00091-X,https://www.sciencedirect.com/science/article/pii/S002210310300091X/pdfft?md5=28d186bf2ad1c1754a90019f9c2b4506&pid=1-s2.0-S002210310300091X-main.pdf,57
