Title,Article URL,Authors,PDF Link,Article Type
C1 : Ed Board,https://www.sciencedirect.com/science/article/pii/S0022103103001719,,https://www.sciencedirect.com/science/article/pii/S0022103103001719/pdfft?md5=3f6673e60bbd94574c1fdc1f28216ff1&pid=1-s2.0-S0022103103001719-main.pdf,N/A
C2–TOC,https://www.sciencedirect.com/science/article/pii/S0022103103001720,,https://www.sciencedirect.com/science/article/pii/S0022103103001720/pdfft?md5=a4fea77d97cbb6b1fa5e1ed47a5ca76c&pid=1-s2.0-S0022103103001720-main.pdf,N/A
Autocratic leadership in social dilemmas: A threat to group stability,https://www.sciencedirect.com/science/article/pii/S0022103103000611,"Mark Van Vugt, Sarah F. Jepson, Claire M. Hart, David De Cremer",https://www.sciencedirect.com/science/article/pii/S0022103103000611/pdfft?md5=12491a2953cfd39b570f6bc903815291&pid=1-s2.0-S0022103103000611-main.pdf,Research article
Reactions to acceptance and rejection: Effects of level and sequence of relational evaluation,https://www.sciencedirect.com/science/article/pii/S0022103103000647,"Katherine E. Buckley, Rachel E. Winkel, Mark R. Leary",https://www.sciencedirect.com/science/article/pii/S0022103103000647/pdfft?md5=c53fe4a93d33b8c9c5d7c7f22f3e89c1&pid=1-s2.0-S0022103103000647-main.pdf,Research article
Maintaining lies: The multiple-audience problem,https://www.sciencedirect.com/science/article/pii/S0022103103000878,"Charles F. Bond, B. Jason Thomas, René M. Paulson",https://www.sciencedirect.com/science/article/pii/S0022103103000878/pdfft?md5=120d5a67356cb69e26221afced492dcc&pid=1-s2.0-S0022103103000878-main.pdf,Research article
Providing and withholding impression management support for romantic partners: Gender of the audience matters,https://www.sciencedirect.com/science/article/pii/S0022103103000702,"Beth A Pontari, Barry R Schlenker",https://www.sciencedirect.com/science/article/pii/S0022103103000702/pdfft?md5=516dee98aa97026f0827c907566fb229&pid=1-s2.0-S0022103103000702-main.pdf,Research article
Memory monitoring and the control of stereotype distortion,https://www.sciencedirect.com/science/article/pii/S0022103103000696,"B.Keith Payne, Larry L. Jacoby, Alan J. Lambert",https://www.sciencedirect.com/science/article/pii/S0022103103000696/pdfft?md5=01be7359e67cde81c077cfbfeddc2baa&pid=1-s2.0-S0022103103000696-main.pdf,Research article
When mutations meet motivations: Attitude biases in counterfactual thought,https://www.sciencedirect.com/science/article/pii/S0022103103000623,"Matthew T Crawford, Sean M McCrea",https://www.sciencedirect.com/science/article/pii/S0022103103000623/pdfft?md5=c3227e8b6d03fc9a5b09d9791c725495&pid=1-s2.0-S0022103103000623-main.pdf,Research article
Automatic stereotypes vs. automatic prejudice: Sorting out the possibilities in the weapon paradigm,https://www.sciencedirect.com/science/article/pii/S0022103103000635,"Charles M. Judd, Irene V. Blair, Kristine M. Chapleau",https://www.sciencedirect.com/science/article/pii/S0022103103000635/pdfft?md5=9491010287238f3e5f717ac369b56615&pid=1-s2.0-S0022103103000635-main.pdf,Research article
Individual differences in attitude structure: Variance in the chronic reliance on affective and cognitive information,https://www.sciencedirect.com/science/article/pii/S002210310300060X,"Thomas L.H Huskinson, Geoffrey Haddock",https://www.sciencedirect.com/science/article/pii/S002210310300060X/pdfft?md5=75e2c82551ebb1581fa4eccd36cf3e24&pid=1-s2.0-S002210310300060X-main.pdf,Research article
