Journal,Volume,Issue,Publication Year,Title,Authors,Author Affiliations,Pages,Type,DOI,PDF Link,Article URL,Citations
Psychological Science,15,1,2004,How the Brain Processes Causal Inferences in Text: A Theoretical Account of Generation and Integration Component Processes Utilizing Both Cerebral Hemispheres,"Robert A. Mason, Marcel Adam Just","Center for Cognitive Brain Imaging, Carnegie Mellon University; Center for Cognitive Brain Imaging, Carnegie Mellon University",pp. 1–7,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501001.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501001.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501001.x,116.0
Psychological Science,15,1,2004,Unemployment Alters the Set Point for Life Satisfaction,"Richard E. Lucas, Andrew E. Clark, Yannis Georgellis, Ed Diener","Michigan State University; Département et Laboratoire d'Economie, Théorique et Appliquée, Paris, France; Brunel University, Uxbridge, Middlesex, England, United Kingdom; University of Illinois and The Gallup Organization",pp. 8–13,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501002.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501002.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501002.x,685.0
Psychological Science,15,1,2004,The Peculiar Longevity of Things Not So Bad,"Daniel T. Gilbert, Matthew D. Lieberman, Carey K. Morewedge, Timothy D. Wilson","Harvard University; University of California, Los Angeles; Harvard University; University of Virginia",pp. 14–19,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501003.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501003.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501003.x,93.0
Psychological Science,15,1,2004,Exogenous Spatial Attention Influences Figure-Ground Assignment,"Shaun P. Vecera, Anastasia V. Flevaris, Joseph C. Filapek",University of Iowa; University of Iowa; University of Iowa,pp. 20–26,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501004.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501004.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501004.x,61.0
Psychological Science,15,1,2004,Visual Sensing Without Seeing,Ronald A. Rensink,"Departments of Psychology and Computer Science, University of British Columbia, Vancouver, British Columbia, Canada",pp. 27–32,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501005.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501005.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501005.x,93.0
Psychological Science,15,1,2004,Lightness Constancy in the Presence of Specular Highlights,"James T. Todd, J. Farley Norman, Ennio Mingolla",Ohio State University; Western Kentucky University; Boston University,pp. 33–39,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501006.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501006.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501006.x,67.0
Psychological Science,15,1,2004,The Perception of Doubly Curved Surfaces From Anisotropic Textures,"James T. Todd, Augustinus H.J. Oomes, Jan J. Koenderink, Astrid M.L. Kappers","Ohio State University; Ohio State University; Helmholtz Instituut, Universiteit Utrecht, Utrecht, The Netherlands; Helmholtz Instituut, Universiteit Utrecht, Utrecht, The Netherlands",pp. 40–46,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501007.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501007.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501007.x,32.0
Psychological Science,15,1,2004,The New and Improved Two-Sample t Test,"H.J. Keselman, Abdul R. Othman, Rand R. Wilcox, Katherine Fradette","University of Manitoba, Winnipeg, Manitoba, Canada; Universiti Sains Malaysia, Penang, Malaysia; University of Southern California; University of Manitoba, Winnipeg, Manitoba, Canada",pp. 47–51,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501008.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501008.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501008.x,67.0
Psychological Science,15,1,2004,The Basic-Level Convergence Effect in Memory Distortions,"Ainat Pansky, Asher Koriat","University of Haifa, Haifa, Israel; University of Haifa, Haifa, Israel",pp. 52–59,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501009.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501009.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501009.x,28.0
Psychological Science,15,1,2004,"Hearing Cheats Touch, but Less in Congenitally Blind Than in Sighted Individuals","Kirsten Hötting, Brigitte Röder","Philipps-University Marburg, Marburg, Germany; Philipps-University Marburg, Marburg, Germany",pp. 60–64,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501010.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501010.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501010.x,89.0
Psychological Science,15,1,2004,No Blindness for Things that Do Not Change,Jan Theeuwes,"Vrije Universiteit, Amsterdam, The Netherlands",pp. 65–70,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501011.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501011.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501011.x,8.0
Psychological Science,15,1,2004,Mimicry and Prosocial Behavior,"Rick B. van Baaren, Rob W. Holland, Kerry Kawakami, Ad van Knippenberg","University of Nijmegen, Nijmegen, The Netherlands; University of Nijmegen, Nijmegen, The Netherlands; University of Nijmegen, Nijmegen, The Netherlands; University of Nijmegen, Nijmegen, The Netherlands",pp. 71–74,Research article,https://doi.org/10.1111/j.0963-7214.2004.01501012.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501012.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501012.x,457.0
Psychological Science,15,2,2004,Partial Awareness Creates the “Illusion” of Subliminal Semantic Priming,"Sid Kouider, Emmanuel Dupoux","Harvard University; Laboratoire de Sciences Cognitives et Psycholinguistique (Ecole des Hautes Etudes en Sciences Sociales/Ecole Normale Supérieure/Centre National de la Recherche Scientifique), Paris, France; Laboratoire de Sciences Cognitives et Psycholinguistique (Ecole des Hautes Etudes en Sciences Sociales/Ecole Normale Supérieure/Centre National de la Recherche Scientifique), Paris, France",pp. 75–81,Research article,https://doi.org/10.1111/j.0963-7214.2004.01502001.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01502001.x,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01502001.x,118.0
