Journal,Volume,Issue,Publication Year,Title,Authors,Author Affiliations,Pages,Type,DOI,PDF Link,Citations
Psychological Science,15,1,2004,Forthcoming Articles,,N/A,pp. ii,Other,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.fmiii.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.fmiii.x,0
Psychological Science,15,1,2004,Information for Contributors,,N/A,pp. iii,Other,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.00bmi.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.00bmi.x,0
Psychological Science,15,1,2004,How the Brain Processes Causal Inferences in Text: A Theoretical Account of Generation and Integration Component Processes Utilizing Both Cerebral Hemispheres,"Robert A. Mason, Marcel Adam Just","Center for Cognitive Brain Imaging, Carnegie Mellon University; Center for Cognitive Brain Imaging, Carnegie Mellon University",pp. 1–7,Research article,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501001.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501001.x,115
Psychological Science,15,1,2004,Unemployment Alters the Set Point for Life Satisfaction,"Richard E. Lucas, Andrew E. Clark, Yannis Georgellis, Ed Diener","Michigan State University; Département et Laboratoire d'Economie, Théorique et Appliquée, Paris, France; Brunel University, Uxbridge, Middlesex, England, United Kingdom; University of Illinois and The Gallup Organization",pp. 8–13,Research article,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501002.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501002.x,685
Psychological Science,15,1,2004,The Peculiar Longevity of Things Not So Bad,"Daniel T. Gilbert, Matthew D. Lieberman, Carey K. Morewedge, Timothy D. Wilson","Harvard University; University of California, Los Angeles; Harvard University; University of Virginia",pp. 14–19,Research article,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501003.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501003.x,92
Psychological Science,15,1,2004,Exogenous Spatial Attention Influences Figure-Ground Assignment,"Shaun P. Vecera, Anastasia V. Flevaris, Joseph C. Filapek",University of Iowa; University of Iowa; University of Iowa,pp. 20–26,Research article,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501004.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501004.x,61
Psychological Science,15,1,2004,Visual Sensing Without Seeing,Ronald A. Rensink,"Departments of Psychology and Computer Science, University of British Columbia, Vancouver, British Columbia, Canada",pp. 27–32,Research article,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501005.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501005.x,93
Psychological Science,15,1,2004,Lightness Constancy in the Presence of Specular Highlights,"James T. Todd, J. Farley Norman, Ennio Mingolla",Ohio State University; Western Kentucky University; Boston University,pp. 33–39,Research article,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501006.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501006.x,67
Psychological Science,15,1,2004,The Perception of Doubly Curved Surfaces From Anisotropic Textures,"James T. Todd, Augustinus H.J. Oomes, Jan J. Koenderink, Astrid M.L. Kappers","Ohio State University; Ohio State University; Helmholtz Instituut, Universiteit Utrecht, Utrecht, The Netherlands; Helmholtz Instituut, Universiteit Utrecht, Utrecht, The Netherlands",pp. 40–46,Research article,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501007.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501007.x,32
Psychological Science,15,1,2004,The New and Improved Two-Sample t Test,"H.J. Keselman, Abdul R. Othman, Rand R. Wilcox, Katherine Fradette","University of Manitoba, Winnipeg, Manitoba, Canada; Universiti Sains Malaysia, Penang, Malaysia; University of Southern California; University of Manitoba, Winnipeg, Manitoba, Canada",pp. 47–51,Research article,https://journals.sagepub.com/doi/abs/10.1111/j.0963-7214.2004.01501008.x,https://journals.sagepub.com/doi/reader/10.1111/j.0963-7214.2004.01501008.x,67
