Title,DOI,Publication Year,Authors,Article Type,Journal Title,Volume,Issue,Citation Count
Much ado about mirrors michael,https://doi.org/10.3758/BF03210736,2000,"['Corballis, C.']",Theoretical Notes,Psychonomic Bulletin & Review,7,1,16
The left-to-right nature of the masked onset priming effect in naming,https://doi.org/10.3758/BF03210732,2000,"['Kinoshita, Sachiko']",Brief Reports,Psychonomic Bulletin & Review,7,1,67
Age and individual differences in visuospatial processing speed: Testing the magnification hypothesis,https://doi.org/10.3758/BF03210729,2000,"['Zheng, Yingye', 'Myerson, Joel', 'Hale, Sandra']",Brief Reports,Psychonomic Bulletin & Review,7,1,22
“work ethic” in pigeons: Reward value is directly related to the effort or time required to obtain the reward,https://doi.org/10.3758/BF03210727,2000,"['Clement, Tricia S.', 'Feltus, Joann R.', 'Kaiser, Daren H.', 'Zentall, Thomas R.']",Brief Reports,Psychonomic Bulletin & Review,7,1,131
Explicitly modeling the effects of aging on response time,https://doi.org/10.3758/BF03210723,2000,"['Ratcliff, Roger', 'Spieler, Daniel', 'Mckoon, Gail']",Article,Psychonomic Bulletin & Review,7,1,92
Conceptual activation of distractors during selection is not sufficient to produce negative priming,https://doi.org/10.3758/BF03210731,2000,"['Dark, Veronica J.', 'Schmidt, Patricia A.']",Brief Reports,Psychonomic Bulletin & Review,7,1,2
Accounts of the confidence-accuracy relation in recognition memory,https://doi.org/10.3758/BF03210724,2000,"['Busey, Thomas A.', 'Tunnicliff, Jennifer', 'Loftus, Geoffrey R.', 'Loftus, Elizabeth F.']",Article,Psychonomic Bulletin & Review,7,1,209
Meaning resolution processes for words: A parallel independent model,https://doi.org/10.3758/BF03210725,2000,"['Twilley, Leslie C.', 'Dixon, Peter']",Article,Psychonomic Bulletin & Review,7,1,39
Reading aloud polysyllabic words and nonwords: The syllabic length effect reexamined,https://doi.org/10.3758/BF03210733,2000,"['Ferrand, Ludovic']",Brief Reports,Psychonomic Bulletin & Review,7,1,51
The reverse Stroop effect,https://doi.org/10.3758/BF03210730,2000,"['Durgin, Frank H.']",Brief Reports,Psychonomic Bulletin & Review,7,1,68
Implicit word activation during prerecognition processing: False recognition and remember/know judgments,https://doi.org/10.3758/BF03210734,2000,"['Wallace, William P.', 'Malone, Christine P.', 'Spoo, Alison D.']",Brief Reports,Psychonomic Bulletin & Review,7,1,12
The effects of a levels-of-processing manipulation on false recall,https://doi.org/10.3758/BF03210735,2000,"['Rhodes, Matthew G.', 'Anastasi, Jeffrey S.']",Brief Reports,Psychonomic Bulletin & Review,7,1,59
In defense of abstractionist theories of repetition priming and word identification,https://doi.org/10.3758/BF03210726,2000,"['Bowers, Jeffrey S.']",Article,Psychonomic Bulletin & Review,7,1,101
Don’t look! don’t touch! inhibitory control of eye and hand movements,https://doi.org/10.3758/BF03210728,2000,"['Logan, Gordon D.', 'Irwin, David E.']",Brief Reports,Psychonomic Bulletin & Review,7,1,99
Mirror reversal simply explained without recourse to psychological processes,https://doi.org/10.3758/BF03210737,2000,"['Tabata, Tatsuo', 'Okuda, Shuichi']",Theoretical Notes,Psychonomic Bulletin & Review,7,1,11
Direct versus indirect tests of memory: Directed forgetting meets the generation effect,https://doi.org/10.3758/BF03212993,2000,"['MacLeod, Colin M.', 'Daniels, Karen A.']",Brief Reports,Psychonomic Bulletin & Review,7,2,31
A comparison of two response time models applied to perceptual matching,https://doi.org/10.3758/BF03212980,2000,"['Van Zandt, Trisha', 'Colonius, Hans', 'Proctor, Robert W.']",Article,Psychonomic Bulletin & Review,7,2,125
The interaction of meaning and sound in spoken word recognition,https://doi.org/10.3758/BF03212988,2000,"['Tyler, Lorraine K.', 'Voice, J. Kate', 'Moss, Helen E.']",Brief Reports,Psychonomic Bulletin & Review,7,2,55
Phonological priming effects on speech onset latencies and viewing times in object naming,https://doi.org/10.3758/BF03212987,2000,"['Meyer, Antje S.', 'van der Meulen, Femke F.']",Brief Reports,Psychonomic Bulletin & Review,7,2,79
Direct comparison of auditory implicit memory tests,https://doi.org/10.3758/BF03212992,2000,"['Pilotti, Maura', 'Bergman, Erik T.', 'Gallo, David A.', 'Sommers, Mitchell', 'Roediger, Henry L.']",Brief Reports,Psychonomic Bulletin & Review,7,2,43
Tracking visual search over space and time,https://doi.org/10.3758/BF03212984,2000,"['Olds, E. S.', 'Cowan, W. B.', 'Jolicoeur, P.']",Brief Reports,Psychonomic Bulletin & Review,7,2,11
"Short-term implicit memory: Visual, auditory, and cross-modality priming",https://doi.org/10.3758/BF03212991,2000,"['McKone, Elinor', 'Dennis, Christopher']",Brief Reports,Psychonomic Bulletin & Review,7,2,22
Notices and announcements,https://doi.org/10.3758/BF03212995,2000,[],Article,Psychonomic Bulletin & Review,7,2,N/A
Immediate serial recall of words and nonwords: Tests of the retrieval-based hypothesis,https://doi.org/10.3758/BF03212990,2000,"['Saint-aubin, Jean', 'Poirier, Marie']",Brief Reports,Psychonomic Bulletin & Review,7,2,66
Comparative cognition in the 1930s,https://doi.org/10.3758/BF03212982,2000,"['Dewsbury, Donald A.']",Article,Psychonomic Bulletin & Review,7,2,14
Selective attention to the parts of an object,https://doi.org/10.3758/BF03212985,2000,"['Vecera, Shaun P.', 'Behrmann, Marlene', 'McGoldrick, John']",Brief Reports,Psychonomic Bulletin & Review,7,2,62
The psychological side of Hempel’s paradox of confirmation,https://doi.org/10.3758/BF03212994,2000,"['Mckenzie, Craig R. M.', 'Mikkelsen, Laurie A.']",Brief Reports,Psychonomic Bulletin & Review,7,2,44
The power law repealed: The case for an exponential law of practice,https://doi.org/10.3758/BF03212979,2000,"['Heathcote, Andrew', 'Brown, Scott', 'Mewhort, D. J. K.']",Article,Psychonomic Bulletin & Review,7,2,466
Another wrinkle on the dual-task SRT experiment: It’s probably not dual task,https://doi.org/10.3758/BF03212986,2000,"['Rah, Simon Ki-young', 'Reber, Arthur S.', 'Hsiao, Andrew T.']",Brief Reports,Psychonomic Bulletin & Review,7,2,33
Metaphor comprehension: A computational theory,https://doi.org/10.3758/BF03212981,2000,"['Kintsch, Walter']",Article,Psychonomic Bulletin & Review,7,2,197
"Pigeon reaction time, Hick’s law, and intelligence",https://doi.org/10.3758/BF03212983,2000,"['Vickrey, Coryn', 'Neuringer, Allen']",Brief Reports,Psychonomic Bulletin & Review,7,2,19
Proactive interference of a sequence of tones in a two-tone pitch comparison task,https://doi.org/10.3758/BF03212989,2000,"['Ruusuvirta, Timo']",Brief Reports,Psychonomic Bulletin & Review,7,2,10
Cross-language word segmentation by 9-month-olds,https://doi.org/10.3758/BF03214363,2000,"['Houston, Derek M.', 'Jusczyk, Peter W.', 'Kuijpers, Cecile', 'Coolen, Riet', 'Cutler, Anne']",Brief Reports,Psychonomic Bulletin & Review,7,3,94
Selective influence of second target exposure duration and Task1 load effects in the attentional blink phenomenon,https://doi.org/10.3758/BF03214359,2000,"['Jolicoeur, Pierre', 'Dell’ Acqua, Roberto']",Brief Reports,Psychonomic Bulletin & Review,7,3,29
A functional relation between learning and organization in free recall,https://doi.org/10.3758/BF03214365,2000,"['Kahana, Michael J.', 'Wingfield, Arthur']",Brief Reports,Psychonomic Bulletin & Review,7,3,24
"Augmentation, not blocking, in an A+/AX+ flavor-conditioning procedure",https://doi.org/10.3758/BF03214358,2000,"['Batson, John D.', 'Batsell, W. Robert']",Brief Reports,Psychonomic Bulletin & Review,7,3,23
Retrieval-induced forgetting: Evidence for a recall-specific mechanism,https://doi.org/10.3758/BF03214366,2000,"['Anderson, Michael C.', 'Bjork, Elizabeth L.', 'Bjork, Robert A.']",Brief Reports,Psychonomic Bulletin & Review,7,3,280
Seeking one’s heading through eye movements,https://doi.org/10.3758/BF03214361,2000,"['Cutting, James E.', 'Alliprandini, Paula M. Z.', 'Wang, Ranxiao Frances']",Brief Reports,Psychonomic Bulletin & Review,7,3,19
Feature accessibility in conceptual combination: Effects of context-induced relevance,https://doi.org/10.3758/BF03214364,2000,"['Glucksberg, Sam', 'Estes, Achary']",Brief Reports,Psychonomic Bulletin & Review,7,3,22
The quality of false memory over time: Is memory for misinformation “remembered” or “known”?,https://doi.org/10.3758/BF03214367,2000,"['Frost, Peter']",Brief Reports,Psychonomic Bulletin & Review,7,3,62
Exemplar-based accounts of “multiple-system” phenomena in perceptual categorization,https://doi.org/10.1007/BF03543066,2000,"['Nosofsky, Robert M.', 'Johansen, Mark K.']",Article,Psychonomic Bulletin & Review,7,3,N/A
The phonological loop and the irrelevant speech effect: Some comments on Neath (2000),https://doi.org/10.3758/BF03214369,2000,"['Baddeley, Alan D.']",Notes And Comment,Psychonomic Bulletin & Review,7,3,61
Stroop interference and negative priming: Problems with inferences from null results,https://doi.org/10.3758/BF03214362,2000,"['Marí-beffa, Paloma', 'Estévez, Angeles F.', 'Danziger, Shai']",Brief Reports,Psychonomic Bulletin & Review,7,3,27
How to fit a response time distribution,https://doi.org/10.3758/BF03214357,2000,"['Van Zandt, Trisha']",Article,Psychonomic Bulletin & Review,7,3,248
Viewpoint-invariant and viewpoint-dependent object recognition in dissociable neural subsystems,https://doi.org/10.3758/BF03214360,2000,"['Burgund, E. Darcy', 'Marsolek, Chad J.']",Brief Reports,Psychonomic Bulletin & Review,7,3,67
Modeling the effects of irrelevant speech on memory,https://doi.org/10.3758/BF03214356,2000,"['Neath, Ian']",Article,Psychonomic Bulletin & Review,7,3,212
Notices and Announcements,https://doi.org/10.3758/BF03214446,2000,[],Article,Psychonomic Bulletin & Review,7,3,N/A
"Stocks and losses, items and interference: A reply to Oberauer and Süß (2000)",https://doi.org/10.3758/BF03213014,2000,"['Myerson, Joel', 'Jenkins, Lisa', 'Hale, Sandra', 'Sliwinski, Martin']",Notes And Comment,Psychonomic Bulletin & Review,7,4,2
Interference in memory by process or content? A reply to Neath (2000),https://doi.org/10.3758/BF03214370,2000,"['Jones, Dylan M.', 'Tremblay, Sébastien']",Notes And Comment,Psychonomic Bulletin & Review,7,3,123
"Working memory and interference: A comment on Jenkins, Myerson, Hale, and Fry (1999)",https://doi.org/10.3758/BF03213013,2000,"['Oberauer, Klaus', 'Süß, Heinz-Martin']",Notes And Comment,Psychonomic Bulletin & Review,7,4,15
