Journal,Volume,Issue,Publication Year,Title,Authors,Author Affiliations,Pages,Type,DOI,PDF Link
Psychonomic Bulletin & Review,11,1,2004,Dissociating sources of dual-task interference using human electrophysiology,"Arnell, Karen M., Helion, Alicia M., Hurdelbrink, Jessica A., Pasieka, Brian","North Dakota State University, Fargo, North Dakota",77-83,Brief Reports,https://doi.org/10.3758/BF03206464,https://link.springer.com/content/pdf/10.3758/BF03206464.pdf
Psychonomic Bulletin & Review,11,1,2004,"The Beck effect is back, now in color: A demonstration","Navon, David, Kimchi, Ruth","Department of Psychology, University of Haifa, 31905, Haifa, Israel",98-103,Brief Reports,https://doi.org/10.3758/BF03206467,https://link.springer.com/content/pdf/10.3758/BF03206467.pdf
Psychonomic Bulletin & Review,11,1,2004,Top-down search strategies cannot override attentional capture,"Theeuwes, Jan","Department of Cognitive Psychology, Vrije Universiteit, Van Der Boechorststraat 1, 1081 BT, Amsterdam, The Netherlands",65-70,Brief Reports,https://doi.org/10.3758/BF03206462,https://link.springer.com/content/pdf/10.3758/BF03206462.pdf
Psychonomic Bulletin & Review,11,1,2004,Decomposing serial learning: What is missing from the learning curve?,"Addis, Kelly M., Kahana, Michael J.","Volen National Center for Complex Systems, Brandeis University, MS 013, 02454-9110, Waltham, MA",118-124,Brief Reports,https://doi.org/10.3758/BF03206470,https://link.springer.com/content/pdf/10.3758/BF03206470.pdf
Psychonomic Bulletin & Review,11,1,2004,"Is the asymmetry in young infants’ categorization of humans versus nonhuman animals based on head, body, or global gestalt information?","Quinn, Paul C.","Department of Psychology, University of Delaware, 19716, Newark, DE",92-97,Brief Reports,https://doi.org/10.3758/BF03206466,https://link.springer.com/content/pdf/10.3758/BF03206466.pdf
Psychonomic Bulletin & Review,11,1,2004,Spatial Simon effects with nonspatial responses,"De Houwer, Jan","Department of Psychology, Ghent University, Henri Dunantlaan 2, B-9000, Ghent, Belgium",49-53,Brief Reports,https://doi.org/10.3758/BF03206459,https://link.springer.com/content/pdf/10.3758/BF03206459.pdf
Psychonomic Bulletin & Review,11,1,2004,Effects of perceptual modality on verbatim and gist memory,"Gerkens, David R., Smith, Steven M.","Department of Psychology, Texas A&M University, 77843-4235, College Station, TX",143-149,Brief Reports,https://doi.org/10.3758/BF03206474,https://link.springer.com/content/pdf/10.3758/BF03206474.pdf
Psychonomic Bulletin & Review,11,1,2004,Testing quantitative models of backward masking,"Francis, Gregory, Herzog, Michael H.","Department of Psychological Sciences, Purdue University, 703 Third Street, 47907-2004, West Lafayette, IN; University of Bremen, Bremen, Germany",104-112,Brief Reports,https://doi.org/10.3758/BF03206468,https://link.springer.com/content/pdf/10.3758/BF03206468.pdf
Psychonomic Bulletin & Review,11,1,2004,Spatial perception and control,"Jordan, J. Scott, Knoblich, Günther","Department of Psychology, Illinois State University, Campus Box 4620, 61790-4620, Normal, IL; Max Planck Institute for Psychological Research, Munich, Germany",54-59,Brief Reports,https://doi.org/10.3758/BF03206460,https://link.springer.com/content/pdf/10.3758/BF03206460.pdf
Psychonomic Bulletin & Review,11,1,2004,A new estimation of the duration of attentional dwell time,"Theeuwes, Jan, Godijn, Richard, Pratt, Jay","Department of Cognitive Psychology, Vrije Universiteit, Van Der Boechorststraat 1, 1081 BT, Amsterdam, The Netherlands; University of Toronto, Toronto, Ontario, Canada",60-64,Brief Reports,https://doi.org/10.3758/BF03206461,https://link.springer.com/content/pdf/10.3758/BF03206461.pdf
